Owner Name,Property Address,City,State,ZIP
Maria Martinez,2408 W Colonial Dr,Orlando,FL,32806
Patricia Brown,2555 Curry Ford Rd,Orlando,FL,32809
Maria Martinez,2229 Kaley Ave,Orlando,FL,32804
Linda Williams,1971 E South St,Orlando,FL,32807
Patricia Martinez,6747 Curry Ford Rd,Orlando,FL,32804
David Johnson,1523 N Orange Ave,Orlando,FL,32805
Linda Williams,9812 E Central Blvd,Orlando,FL,32809
Maria Brown,2138 E South St,Orlando,FL,32805
Linda Martinez,6180 E Central Blvd,Orlando,FL,32809
Maria Brown,1128 W Church St,Orlando,FL,32804
Robert Garcia,296 N Orange Ave,Orlando,FL,32803
David Garcia,8169 W Colonial Dr,Orlando,FL,32804
John Garcia,9440 N Orange Ave,Orlando,FL,32807
John Martinez,6723 W Church St,Orlando,FL,32803
Linda Smith,4722 E Central Blvd,Orlando,FL,32806
James Johnson,5818 E Central Blvd,Orlando,FL,32804
David Smith,2939 W Colonial Dr,Orlando,FL,32805
Linda Jones,5233 Semoran Blvd,Orlando,FL,32801
Patricia Lee,8509 Semoran Blvd,Orlando,FL,32807
Maria Williams,5428 Semoran Blvd,Orlando,FL,32808
David Smith,6474 Lake Underhill Rd,Orlando,FL,32807
John Martinez,5249 E Central Blvd,Orlando,FL,32808
David Martinez,6835 N Orange Ave,Orlando,FL,32801
Patricia Brown,8952 E South St,Orlando,FL,32808
Maria Martinez,6314 N Orange Ave,Orlando,FL,32804
James Smith,1565 S Bumby Ave,Orlando,FL,32801
Patricia Brown,397 S Bumby Ave,Orlando,FL,32809
John Garcia,6110 E Central Blvd,Orlando,FL,32808
James Johnson,6163 W Church St,Orlando,FL,32804
Susan Brown,5043 Semoran Blvd,Orlando,FL,32807
Susan Brown,9756 N Orange Ave,Orlando,FL,32803
Patricia Garcia,9459 N Orange Ave,Orlando,FL,32804
James Lee,7133 W Colonial Dr,Orlando,FL,32807
Robert Williams,4327 Curry Ford Rd,Orlando,FL,32812
Susan Lee,9435 E Central Blvd,Orlando,FL,32812
John Brown,8075 S Bumby Ave,Orlando,FL,32807
John Jones,8614 Curry Ford Rd,Orlando,FL,32809
Robert Johnson,382 Kaley Ave,Orlando,FL,32803
Susan Williams,1950 S Bumby Ave,Orlando,FL,32803
James Martinez,9478 S Bumby Ave,Orlando,FL,32809
Susan Garcia,9311 W Colonial Dr,Orlando,FL,32805
Maria Williams,4480 Semoran Blvd,Orlando,FL,32809
James Jones,2754 Lake Underhill Rd,Orlando,FL,32803
David Williams,4557 W Church St,Orlando,FL,32806
Linda Jones,9981 N Orange Ave,Orlando,FL,32807
